"title","suite","action","expected result","priority"
"Add to Cart","Product Details","While authenticated select a variant (if applicable)","Button changes to Added (green with checkmark). Cart badge increments.","critical"
"Add to Cart","Product Details","Tap Add to bag","Item appears in cart with correct variant","critical"
"Add to Cart - Guest","Product Details","While guest tap Add to bag","Sign in required dialog appears. Item not added","high"
"Add to Cart - Out of Stock","Product Details","Select an out-of-stock variant","Button shows Out of Stock (red). Button disabled","high"
"Add to Cart - Store Closed","Product Details","Navigate to product from a closed store","Store closed banner visible. Add to cart restricted","high"
"Add to Cart - Different Store","Product Details","Add item from Store A to cart","Warning dialog: adding from another store will clear current cart. On confirm: cart cleared new item added.","high"
"Add to Cart - Different Store","Product Details","Navigate to Store B try to add item","On cancel: cart unchanged","high"
"Duplicate Prevention","Product Details","Add a product to cart","Button shows Added state.","high"
"Duplicate Prevention","Product Details","Navigate away and back to same product","Cannot add duplicate","high"
"Shipping & Returns Section","Product Details","Tap Shipping & Returns on product page","Expands to show flat delivery fee and retailer returns info. Tap again to collapse","medium"
"Similar Products","Product Details","Scroll down to Similar Products section","Horizontal scroll of up to 5 similar products. Tapping navigates to detail page. Not shown if no similar products","medium"
"Product Favorite Toggle","Product Details","While authenticated tap heart icon on product page","Heart fills/unfills. Snackbar confirmation. Product appears/disappears in Wishlist","high"
"Cart Page Load","Cart","Add items to cart","Bag title. Store indicator. Cart items with image name variant price.","critical"
"Cart Page Load","Cart","Navigate to Cart tab","Quantity stepper. Cart summary at bottom","critical"
"Update Quantity","Cart","In cart tap + to increase quantity","Quantity updates immediately. Subtotal recalculates.","critical"
"Update Quantity","Cart","Tap - to decrease","Quantity respects inventory limits","critical"
"Remove Item","Cart","Decrease quantity to 0 or tap remove button","Item removed from cart. Cart badge updates. If last item removed empty cart state shown","critical"
"Empty Cart State","Cart","Remove all items from cart or open cart with no items","Empty state with icon and message. No checkout button visible","high"
"Clear Cart","Cart","With items in cart trigger clear cart","Confirmation dialog appears. On confirm: all items removed. On cancel: cart unchanged","high"
"Delivery Address Selection","Cart","On cart page tap Deliver to / address selector","Address selection modal appears. Shows saved addresses. After selection delivery fee row appears in summary","critical"
"Cart Summary","Cart","Add items and select delivery address","Subtotal: sum of item prices x quantities. Delivery: shown after address selected. Total: subtotal + delivery. Checkout button enabled","critical"
"Checkout Button - No Address","Cart","Have items in cart but no address selected","Checkout button shows SELECT ADDRESS TO CHECKOUT. Button disabled or triggers address selection","critical"
"Full Checkout Flow","Checkout","Have items in cart with address selected","STREET order created. Shopify checkout opens with pre-filled info.","critical"
"Full Checkout Flow","Checkout","Tap CHECKOUT","On success: cart cleared navigates to order detail. Success message shown","critical"
"Full Checkout Flow","Checkout","Complete payment in Shopify checkout webview","","critical"
"Checkout - Missing Email","Checkout","Sign in with phone only (no email)","Complete your details modal appears. Email required.","high"
"Checkout - Missing Email","Checkout","Proceed to checkout","After submission checkout continues","high"
"Checkout - Cancel Payment","Checkout","Start checkout","STREET order cancelled automatically. Returns to cart page.","high"
"Checkout - Cancel Payment","Checkout","Cancel/close Shopify checkout webview","Cart items preserved","high"
"Checkout - Payment Failure","Checkout","Start checkout","STREET order cancelled. Error message shown.","high"
"Checkout - Payment Failure","Checkout","Payment fails in Shopify checkout","Cart items preserved for retry","high"
"Order Detail - Post Checkout","Orders","Complete checkout (6.1)","Order detail page loads. Status: Awaiting Acceptance. WebSocket connected. Items delivery address pricing visible","critical"
"Order Status Updates","Orders","On order detail page wait for store to accept/update","Status updates in real-time via WebSocket. UI reflects new status. No page refresh needed","critical"
"Cancel Order","Orders","On order detail (status: Awaiting Acceptance or earlier)","Cancel modal shows predefined reasons.","high"
"Cancel Order","Orders","Tap cancel","On confirm: status changes to Cancelled.","high"
"Cancel Order","Orders","Select reason","Only available for early statuses","high"
"Cancel Order","Orders","Confirm","","high"
"Cancel Order - Not Available","Orders","On order that is Confirmed or later","Cancel button not visible or disabled. Cannot cancel once store has accepted","high"
"Order Rejected by Store","Orders","Place order wait for store to reject","RejectionCard: Order declined. Message: You have not been charged. Buttons: Back to Orders and Shop Again","high"
"Order Missed by Store","Orders","Place order store doesn't respond within timeout","RejectionCard: Store couldn't respond in time. Message: You have not been charged","high"
"Order History","Orders","Go to Profile > Order History","Auth-gated. Shows completed and cancelled orders. Tap an order to see detail","high"
"Delivered Order Detail","Orders","From order history tap a delivered order","Delivered order detail loads. Shows delivery fee items pricing","medium"
"Live Tracking Page","Live Tracking","Have an active order","Auth-gated. Shows list of active orders.","critical"
"Live Tracking Page","Live Tracking","Navigate to Profile > Live Tracking","Each order shows current status","critical"
"Live Tracking Detail","Live Tracking","Tap an active order from live tracking page","Map displayed (Mapbox). WebSocket connected. Firebase RTDB for courier location. Real-time location updates on map. Rider info shown","critical"
"Order Delivered","Live Tracking","Tracking an order that gets delivered","Status updates to Delivered. Order moves from active to completed","high"
"Wishlist Tab - Stores View","Wishlist","Add stores to favorites","Shows favorited stores in grid.","high"
"Wishlist Tab - Stores View","Wishlist","Navigate to Wishlist tab","Toggle available to switch to Products view","high"
"Wishlist Tab - Products View","Wishlist","Add products to favorites","Shows favorited products.","high"
"Wishlist Tab - Products View","Wishlist","Navigate to Wishlist tab > Products view","Each product tappable to navigate to detail","high"
"Bulk Add to Cart from Wishlist","Wishlist","In wishlist products view select multiple items","Selected items added to cart. Cart badge updates.","medium"
"Bulk Add to Cart from Wishlist","Wishlist","Tap Add to Cart","Store consistency rules still apply","medium"
"Wishlist - Guest State","Wishlist","As guest navigate to Wishlist tab","Sign-in required screen or empty state","high"
"View Saved Addresses","Addresses","Profile > My Addresses","List of saved addresses. Each shows street city postcode. Default address indicated","high"
"Add New Address","Addresses","Addresses page > Add address","Address search with autocomplete.","critical"
"Add New Address","Addresses","Search or enter manually","Map confirmation step.","critical"
"Add New Address","Addresses","Confirm and save","Address saved and available in cart","critical"
"Edit Address","Addresses","Tap existing address > Edit","Pre-filled form with current data. Save updates the address","high"
"Delete Address","Addresses","Delete an existing address","Address removed from list. If was default then default status cleared","high"
"Set Default Address","Addresses","Tap Set as default on a non-default address","Address marked as default. Previous default unmarked. Default pre-selected in cart","high"
"Profile Page Load","Profile & Settings","Navigate to Profile tab (authenticated)","Avatar with initials. Display name. Credit balance card. Orders section. Support section. Permission toggles. Log Out. App version","high"
"Edit Profile","Profile & Settings","Profile > Show Profile > Edit","Fields editable. Save persists changes.","medium"
"Edit Profile","Profile & Settings","Update name/email fields","Profile page reflects updates","medium"
"Support Chat","Profile & Settings","Profile > Support & Help","Intercom messenger opens. Can send and receive messages","medium"
"FAQ Link","Profile & Settings","Profile > FAQ","Opens Intercom help center in external browser","medium"
"Share the App","Profile & Settings","Profile > Share the App","Native share sheet with App Store / Play Store link","medium"
"Location Toggle","Profile & Settings","Profile > Location Services toggle","Toggle on: requests permission if not granted. Toggle off: disables location in app","medium"
"Notification Toggle","Profile & Settings","Profile > Notifications toggle","Toggle on: requests permission if not granted. Toggle off: disables notifications in app","medium"
"Credit Wallet","Credit & Referrals","Profile > Credit balance card","Credit wallet shows current balance. Options to enter/share referral code and redeem credit","medium"
"Enter Referral Code","Credit & Referrals","Credit Wallet > Enter referral code","Code claimed successfully.","medium"
"Enter Referral Code","Credit & Referrals","Enter a valid code","Balance updated","medium"
"Enter Invalid Referral Code","Credit & Referrals","Enter an invalid or expired referral code","Error message displayed. Balance unchanged","medium"
"Share Referral Code","Credit & Referrals","Credit Wallet > Share referral code","Shows unique referral code. Share option available","medium"
"Redeem Credit","Credit & Referrals","Credit Wallet > Redeem credit","Redemption processed. Success screen shown.","medium"
"Redeem Credit","Credit & Referrals","Select amount and store","Balance reduced","medium"
"Search Screen","Search","Navigate to Search tab (bottom nav)","Search input field visible. Can search for stores or products","high"
"Search Results","Search","Enter search query","Results displayed. Tapping a result navigates to store or product","high"
"Empty Search Results","Search","Search for a non-existent term","Empty state with appropriate message","medium"
"Network Error - Home","Error States","Disable network open app","Error state with Try Again button. On reconnect + tap retry: data loads","high"
"Network Error - Checkout","Error States","Start checkout lose network mid-payment","Error handled gracefully. No double charges. User informed of failure","high"
"App Backgrounded During Order","Error States","Place order background app","Order status refreshes on resume. WebSocket reconnects.","high"
"App Backgrounded During Order","Error States","Return to app","No stale data shown","high"
"Session Expiry","Error States","Wait for auth token to expire","Handled gracefully (re-auth or redirect to sign-in).","medium"
"Session Expiry","Error States","Try an authenticated action","No crash","medium"
"Deep Link - Google OAuth","Error States","Start Google sign-in","App receives callback.","high"
"Deep Link - Google OAuth","Error States","Complete in browser","Tokens extracted.","high"
"Deep Link - Google OAuth","Error States","Redirect back via streetapp://","User authenticated","high"
"Analytics Tracking","Cross-Cutting","Verify events: checkoutStarted checkoutCompleted checkoutAbandoned liveChatOpened liveOrdersViewed orderHistoryViewed","All events fire at correct trigger points","medium"
"Push Notifications","Cross-Cutting","Place an order","Push notification received for status change.","high"
"Push Notifications","Cross-Cutting","Wait for status change","Tapping notification opens relevant order","high"
"App Version Display","Cross-Cutting","Scroll to bottom of Profile page","Current app version displayed correctly","medium"
